measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Brunei Darussalam,Both,All ages,All causes,Rate,2019,22397.776455046096,25576.714977396616,19497.31337875638
DALYs (Disability-Adjusted Life Years),Azerbaijan,Both,All ages,All causes,Rate,2019,30720.89499371084,35256.610239442845,26896.731721430533
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Both,All ages,All causes,Rate,2019,41046.828219668874,48539.75116319596,34645.689114382556
DALYs (Disability-Adjusted Life Years),Georgia,Both,All ages,All causes,Rate,2019,39519.885983667606,44700.194376907646,34577.25671984579
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Both,All ages,All causes,Rate,2019,43812.943708362574,53094.75593598258,35982.17851798358
DALYs (Disability-Adjusted Life Years),Japan,Both,All ages,All causes,Rate,2019,28624.131967697,32597.751152384928,25097.367941843924
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,All ages,All causes,Rate,2019,32937.79372119424,38539.845659845036,28106.910072692524
DALYs (Disability-Adjusted Life Years),Slovenia,Both,All ages,All causes,Rate,2019,30160.34036605447,36219.641406156465,24943.337396058785
DALYs (Disability-Adjusted Life Years),Republic of Korea,Both,All ages,All causes,Rate,2019,23224.234312231536,26778.548982217417,20182.040690173573
DALYs (Disability-Adjusted Life Years),Malaysia,Both,All ages,All causes,Rate,2019,24727.653974922247,29085.120908515994,20868.384658393614
DALYs (Disability-Adjusted Life Years),Hungary,Both,All ages,All causes,Rate,2019,38296.228359792214,44370.94037264454,32635.125018573268
DALYs (Disability-Adjusted Life Years),South Africa,Both,All ages,All causes,Rate,2019,47829.890722315635,52260.47700398696,43913.92856330892
DALYs (Disability-Adjusted Life Years),Kazakhstan,Both,All ages,All causes,Rate,2019,31424.173419161423,35396.87045487997,27967.962844356607
DALYs (Disability-Adjusted Life Years),Norway,Both,All ages,All causes,Rate,2019,25549.69101041755,29492.18128835075,22089.14492555568
DALYs (Disability-Adjusted Life Years),Maldives,Both,All ages,All causes,Rate,2019,18225.359667127435,21308.38008020594,15376.655697917271
DALYs (Disability-Adjusted Life Years),Namibia,Both,All ages,All causes,Rate,2019,40742.889980541615,48670.4987503169,33820.591944029125
DALYs (Disability-Adjusted Life Years),Myanmar,Both,All ages,All causes,Rate,2019,35522.481553180274,42122.82864659382,29875.00773503378
DALYs (Disability-Adjusted Life Years),Guyana,Both,All ages,All causes,Rate,2019,40079.160108871045,48239.708349612345,32930.261963152465
DALYs (Disability-Adjusted Life Years),Australia,Both,All ages,All causes,Rate,2019,25598.62583644779,29672.195199845137,22113.25737183423
DALYs (Disability-Adjusted Life Years),France,Both,All ages,All causes,Rate,2019,27289.19711151852,31227.34061946303,23810.49938907276
DALYs (Disability-Adjusted Life Years),Cyprus,Both,All ages,All causes,Rate,2019,24416.294680155428,28202.94602689677,20978.78599039289
DALYs (Disability-Adjusted Life Years),Samoa,Both,All ages,All causes,Rate,2019,28173.90975340462,33921.22554393667,23336.040757585248
DALYs (Disability-Adjusted Life Years),Mexico,Both,All ages,All causes,Rate,2019,27197.33443454715,31032.388266295653,24074.056422154776
DALYs (Disability-Adjusted Life Years),Mauritius,Both,All ages,All causes,Rate,2019,33099.313687154245,38552.53193577012,28004.40620401759
DALYs (Disability-Adjusted Life Years),New Zealand,Both,All ages,All causes,Rate,2019,27043.23234163091,31105.709061196314,23513.680304641948
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,All ages,All causes,Rate,2019,27137.19349560634,32522.059919044226,22411.12505004073
DALYs (Disability-Adjusted Life Years),North Macedonia,Both,All ages,All causes,Rate,2019,34818.89500086802,40908.71120486588,29234.279841547155
DALYs (Disability-Adjusted Life Years),Panama,Both,All ages,All causes,Rate,2019,23116.574571857178,27675.75273654192,19165.961838706535
DALYs (Disability-Adjusted Life Years),Finland,Both,All ages,All causes,Rate,2019,30195.20841329271,34400.062071464534,26566.29814005657
DALYs (Disability-Adjusted Life Years),Marshall Islands,Both,All ages,All causes,Rate,2019,37489.33421065672,44681.47928654454,31124.709249226107
DALYs (Disability-Adjusted Life Years),Bulgaria,Both,All ages,All causes,Rate,2019,46914.44991101602,55124.98919274067,39534.93421367753
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Both,All ages,All causes,Rate,2019,23522.205215452424,26867.185567320623,20501.658498473702
DALYs (Disability-Adjusted Life Years),Croatia,Both,All ages,All causes,Rate,2019,34750.526869851776,40772.07572318268,28969.416175093837
DALYs (Disability-Adjusted Life Years),Estonia,Both,All ages,All causes,Rate,2019,34727.920482383575,40765.90138547887,29103.866197251937
DALYs (Disability-Adjusted Life Years),Malta,Both,All ages,All causes,Rate,2019,27988.364150063044,32311.403257473536,24150.36725888833
DALYs (Disability-Adjusted Life Years),Eswatini,Both,All ages,All causes,Rate,2019,55758.841368140114,65557.37959056922,47268.64466163145
DALYs (Disability-Adjusted Life Years),Haiti,Both,All ages,All causes,Rate,2019,47498.77991487705,54949.306176351594,40669.29464006079
DALYs (Disability-Adjusted Life Years),Mongolia,Both,All ages,All causes,Rate,2019,34575.724409410905,41135.8619154462,28671.13012358436
DALYs (Disability-Adjusted Life Years),Togo,Both,All ages,All causes,Rate,2019,43287.909319289494,50201.2807062004,37126.24437814115
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,All causes,Rate,2019,36089.9881634092,43349.88625528688,29892.794808818224
DALYs (Disability-Adjusted Life Years),Bhutan,Both,All ages,All causes,Rate,2019,28369.229327972833,33916.55348631534,23528.43950385629
DALYs (Disability-Adjusted Life Years),Timor-Leste,Both,All ages,All causes,Rate,2019,30353.483162502907,34422.46514277642,26719.316240469383
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Both,All ages,All causes,Rate,2019,25262.566591122955,28401.996061080776,22429.16571353653
DALYs (Disability-Adjusted Life Years),Andorra,Both,All ages,All causes,Rate,2019,26397.095989277186,31475.734888227526,21770.389855490703
